label,precision,recall,f1,support,tp,fp,fn,tn
joy,1.0,0.9091,0.9524,11,10,0,1,43
sadness,1.0,0.8,0.8889,10,8,0,2,44
anger,1.0,0.8,0.8889,10,8,0,2,44
fear,1.0,0.8182,0.9,11,9,0,2,43
love,1.0,0.8182,0.9,11,9,0,2,43
surprise,1.0,1.0,1.0,10,10,0,0,44
