threshold,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1,subset_accuracy,hamming_loss
0.3,1.0,0.8576,0.9217,1.0,0.8571,0.9231,0.8889,0.0278
0.35,1.0,0.8576,0.9217,1.0,0.8571,0.9231,0.8889,0.0278
0.39999999999999997,1.0,0.8576,0.9217,1.0,0.8571,0.9231,0.8889,0.0278
0.44999999999999996,1.0,0.8576,0.9217,1.0,0.8571,0.9231,0.8889,0.0278
0.49999999999999994,1.0,0.8576,0.9217,1.0,0.8571,0.9231,0.8889,0.0278
0.5499999999999999,1.0,0.8576,0.9217,1.0,0.8571,0.9231,0.8889,0.0278
0.5999999999999999,1.0,0.8576,0.9217,1.0,0.8571,0.9231,0.8889,0.0278
0.6499999999999999,1.0,0.8576,0.9217,1.0,0.8571,0.9231,0.8889,0.0278
0.7,1.0,0.8576,0.9217,1.0,0.8571,0.9231,0.8889,0.0278
0.7499999999999999,1.0,0.8576,0.9217,1.0,0.8571,0.9231,0.8889,0.0278
